action,group,username,scope,plan_version,reason,reviewed_by,reviewed_at,ticket,rollback_of,notes
create_group,api_hymns_readers,,,2,Final reviewed dry-run role group for hymn read access,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Dry-run review only no apply
create_group,api_hymns_editors,,,2,Final reviewed dry-run role group for hymn metadata edit access,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Dry-run review only no apply
create_group,api_hymns_uploaders,,,2,Final reviewed dry-run role group for hymn upload access,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Dry-run review only no apply
create_group,api_humnos_readers,,,2,Final reviewed dry-run role group for humnos read access,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Dry-run review only no apply
create_group,api_humnos_operators,,,2,Final reviewed dry-run role group for humnos operator access,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Dry-run review only no apply
create_group_grant,api_hymns_readers,,api:hymns:read,2,Final reviewed dry-run grant for hymn reader scope,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Suggested by reviewed backfill plan dry-run only
create_group_grant,api_hymns_editors,,api:hymns:read,2,Final reviewed dry-run grant for hymn editor read scope,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Suggested by reviewed backfill plan dry-run only
create_group_grant,api_hymns_editors,,api:hymns:write,2,Final reviewed dry-run grant for hymn editor write scope,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Suggested by reviewed backfill plan dry-run only
create_group_grant,api_hymns_uploaders,,api:hymns:read,2,Final reviewed dry-run grant for hymn uploader read scope,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Suggested by reviewed backfill plan dry-run only
create_group_grant,api_hymns_uploaders,,api:hymns:upload,2,Final reviewed dry-run grant for hymn uploader upload scope,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Suggested by reviewed backfill plan dry-run only
create_group_grant,api_humnos_readers,,api:humnos:read,2,Final reviewed dry-run grant for humnos reader scope,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Suggested by reviewed backfill plan dry-run only
create_group_grant,api_humnos_operators,,api:humnos:read,2,Final reviewed dry-run grant for humnos operator read scope,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Suggested by reviewed backfill plan dry-run only
create_group_grant,api_humnos_operators,,api:humnos:write,2,Final reviewed dry-run grant for humnos operator write scope,peterchen9,2026-05-31T00:00:00+08:00,SEC-API-FINAL-CSV-DRYRUN-001,,Suggested by reviewed backfill plan dry-run only
